Maquina,timestamp,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_lb_h,velocidad_chum_lb_h,envolvente_chum_lb_h,desbalance_lado_a,desalineacion_rad_lado_a,soltura_lado_a,rodamiento_chum_lado_a,desalineacion_ang_lado_a,desbalance_lado_b,desalineacion_lado_b,soltura_lado_b,rodamiento_chum_lado_b,corriente_motor_a,corriente_motor_b,temp_chum_lado_a,temp_chum_lado_b
DESFIBRADORA,2025-07-07 23:26:53-05:00,0.339382,2.292,0.76583,0.21789,2.34046,0.435244,0.150901,2.07674,0.11106,1.2839364,1.4218818,0.36146545,0.130766,0.7660912,0.71447176,0.13097845,1.1846672,0.36883846,109.0,108.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:27:03-05:00,0.337562,2.29961,1.14749,0.244429,2.60423,0.550415,0.166402,2.29575,0.125836,1.2818046,1.3907827,0.5421982,0.196149,0.74181527,0.7126511,0.13265218,1.1869909,0.37535217,138.0,136.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:27:13-05:00,0.340666,2.11771,0.810192,0.213275,2.70084,0.387051,0.128872,1.85958,0.0970902,1.2796727,1.3596836,0.7229309,0.261532,0.71753937,0.71083045,0.1343259,1.1893145,0.38186592,118.0,116.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:27:23-05:00,0.366085,2.53795,1.36031,0.213892,2.78823,0.397301,0.147865,2.16266,0.104505,1.2775409,1.3285846,0.90366364,0.326915,0.6932635,0.7090098,0.13599963,1.1916381,0.38837963,121.0,119.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:27:33-05:00,0.332318,2.3886,0.775676,0.201092,2.40838,0.412167,0.118851,1.68775,0.112779,1.2754091,1.2974854,1.0843964,0.392298,0.6689876,0.7071892,0.13767336,1.1939619,0.39489338,114.0,112.0,51.0,50.0
DESFIBRADORA,2025-07-07 23:27:43-05:00,0.346312,2.14291,1.13181,0.208096,2.4734,0.418822,0.127394,1.86591,0.102947,1.2732773,1.2663863,1.2651291,0.457681,0.6447117,0.7053686,0.13934709,1.1962855,0.4014071,122.0,120.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:27:53-05:00,0.344813,2.23006,0.761602,0.222184,2.51999,0.427623,0.182682,2.49367,0.110362,1.2711455,1.2352872,1.4458618,0.523064,0.6204358,0.70354795,0.14102082,1.1986091,0.40792084,122.0,121.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:28:03-05:00,0.361911,2.41773,1.21459,0.250789,2.69689,0.555567,0.140021,1.90491,0.155602,1.2690136,1.2041881,1.6265945,0.58844703,0.5961598,0.7017273,0.14269455,1.2009327,0.41443455,133.0,132.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:28:13-05:00,0.385055,2.27704,0.982505,0.270431,2.64661,0.524064,0.156972,2.09809,0.125728,1.2668818,1.173089,1.8073273,0.65383,0.5718839,0.69990665,0.14436828,1.2032564,0.4209483,167.0,166.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:28:23-05:00,0.364479,2.5432,0.974211,0.256209,2.74848,0.498948,0.173333,2.43675,0.133788,1.26475,1.14199,1.98806,0.719213,0.547608,0.698086,0.146042,1.20558,0.427462,164.0,163.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:28:33-05:00,0.420936,2.73455,0.976137,0.335906,3.13071,0.861526,0.291351,3.81087,0.170378,1.26475,1.14199,1.98806,0.719213,0.547608,0.698086,0.146042,1.20558,0.427462,193.0,184.0,52.0,50.0
DESFIBRADORA,2025-07-07 23:28:43-05:00,0.378982,2.63297,0.833042,0.292462,2.9883,0.589753,0.199446,2.68738,0.192891,1.2724637,1.1708035,1.8710713,0.6648477,0.58944005,0.70825374,0.13589689,1.2920337,0.4454421,180.0,178.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:28:53-05:00,0.435037,3.13011,0.9474,0.311111,3.49161,0.6914,0.246245,3.35072,0.269349,1.2801772,1.1996173,1.7540827,0.6104823,0.631272,0.71842146,0.12575178,1.3784872,0.46342218,209.0,208.0,51.0,49.0
DESFIBRADORA,2025-07-07 23:29:03-05:00,0.38559,2.58546,1.07867,0.299385,2.93144,0.659682,0.158638,2.10784,0.174945,1.2878909,1.2284309,1.6370941,0.55611694,0.67310405,0.7285892,0.11560667,1.4649409,0.48140228,189.0,187.0,52.0,49.0
DESFIBRADORA,2025-07-07 23:29:13-05:00,0.36472,2.50934,0.60149,0.305476,3.31129,0.81827,0.230368,3.14779,0.176933,1.2956046,1.2572445,1.5201055,0.50175154,0.714936,0.7387569,0.10546157,1.5513946,0.49938238,170.0,168.0,51.5,49.0
DESFIBRADORA,2025-07-07 23:29:23-05:00,0.343449,2.21641,0.755823,0.251084,2.46761,0.588304,0.13137,1.75126,0.138785,1.3033181,1.2860582,1.4031168,0.44738618,0.75676805,0.7489246,0.095316455,1.6378481,0.5173625,147.0,145.0,51.0,49.0
