Maquina,timestamp_grid,aceleracion_chum_la_h,velocidad_chum_la_h,envolvente_chum_la_h,aceleracion_chum_la_a,velocidad_chum_la_a,envolvente_chum_la_a,aceleracion_chum_ll_h,velocidad_chum_ll_h,envolvente_chum_ll_h,desbalance_la,desalineacion_rad_la,soltura_chum_la,rodamiento_chum_la,desalineacion_ang_la,desbalance_ll,soltura_chum_ll,rodamiento_chum_ll,corriente_picadora,temperatura_lado_der,temperatura_lado_izq
PICADORA,2025-07-14 10:47:11-05:00,0.485249,3.24387,1.63377,0.351104,1.97078,1.27948,0.541717,4.06461,1.13903,0.7886433,0.472538,1.5209216,0.52852666,0.040705614,0.76538754,1.9562474,1.2995842,180.0,50.0,52.0
PICADORA,2025-07-14 10:47:21-05:00,0.465373,2.09873,1.95242,0.381908,1.6994,1.28909,0.380457,2.53646,0.831893,0.78124046,0.4822855,1.5493474,0.591449,0.042105425,0.772164,1.951945,1.3044883,132.0,50.0,52.0
PICADORA,2025-07-14 10:47:31-05:00,0.449977,2.31844,1.66553,0.335166,1.72309,1.03187,0.436299,2.82341,0.950996,0.7738376,0.492033,1.5777733,0.6543713,0.043505233,0.7789405,1.9476424,1.3093925,162.0,50.0,52.0
PICADORA,2025-07-14 10:47:41-05:00,0.443727,2.15425,2.0934,0.290677,1.62359,1.17205,0.399009,2.41144,0.880609,0.7664348,0.5017805,1.6061991,0.7172937,0.04490504,0.785717,1.94334,1.3142967,126.0,50.0,52.0
PICADORA,2025-07-14 10:47:51-05:00,0.420633,1.75008,1.97592,0.280588,1.582,0.939731,0.350319,1.9185,0.797856,0.759032,0.511528,1.634625,0.780216,0.04630485,0.7924935,1.9390374,1.3192009,112.0,50.0,52.0
PICADORA,2025-07-14 10:48:01-05:00,0.400543,1.83323,2.06223,0.277583,1.44749,0.941179,0.3005,2.25636,0.715801,0.7516292,0.5212755,1.6630508,0.84313834,0.04770466,0.79927003,1.9347351,1.324105,91.0,50.0,52.0
PICADORA,2025-07-14 10:48:11-05:00,0.412398,2.10609,1.89014,0.267655,1.61806,1.22856,0.35989,2.34577,0.7607,0.74422634,0.531023,1.6914766,0.9060607,0.049104467,0.8060465,1.9304326,1.3290092,82.0,50.0,52.0
PICADORA,2025-07-14 10:48:21-05:00,0.427687,2.40291,1.97726,0.313109,1.49092,0.98658,0.337548,3.08848,0.758764,0.7368235,0.5407705,1.7199025,0.968983,0.050504275,0.812823,1.92613,1.3339133,94.0,50.0,52.0
PICADORA,2025-07-14 10:48:31-05:00,0.423771,1.96506,1.99834,0.324138,1.48223,1.30916,0.292784,2.33706,0.723974,0.72942066,0.550518,1.7483283,1.0319053,0.051904082,0.8195995,1.9218276,1.3388176,100.0,50.0,52.0
PICADORA,2025-07-14 10:48:41-05:00,0.45848,2.52658,1.7873,0.371497,1.60069,1.09327,0.387582,3.31715,1.07478,0.7220178,0.5602655,1.7767541,1.0948277,0.053303894,0.82637596,1.917525,1.3437217,146.0,50.0,52.0
