Fecha,RPM_BPC-501\RPM [RPM],Motor LL_501\MLL - X\Velocidad Rms [mm/s],Motor LL_501\MLL - X\Aceleración Rms [g],Motor LA_501\MLA - X\Velocidad Rms [mm/s],Motor LA_501\MLA - X\Aceleración Rms [g],Motor LA_501\MLA - Y\Velocidad Rms [mm/s],Motor LA_501\MLA - Y\Aceleración Rms [g],Motor LA_501\MLA - Z\Velocidad Rms [mm/s],Motor LA_501\MLA - Z\Aceleración Rms [g],Motor LL_502\MLL _X\Velocidad Rms [mm/s],Motor LL_502\MLL _X\Aceleración Rms [g],Motor LA_502\MLA_X\Velocidad Rms [mm/s],Motor LA_502\MLA_X\Aceleración Rms [g],Motor LA_502\MLA_Y\Velocidad Rms [mm/s],Motor LA_502\MLA_Y\Aceleración Rms [g],Motor LA_502\MLA_Z\Velocidad Rms [mm/s],Motor LA_502\MLA_Z\Aceleración Rms [g],Motor LL_502\MLL_Y\Velocidad Rms [mm/s],Motor LL_502\MLL_Y\Aceleración Rms [g],Motor LL_501\MLL - Y\Velocidad Rms [mm/s],Motor LL_501\MLL - Y\Aceleración Rms [g]
2026-01-30 05:27:29,1196.01331,1.291763,1.02889907,0.9412984,2.03226,0.8658352,2.66957927,0.5563597,1.78912139,0.7772302,0.4533145,0.906216145,1.68794763,0.6981167,1.681846,0.5039421,0.5659531,0.6436729,0.5323349,2.170374,0.879806
2026-01-30 05:27:30,1196.11267,1.35179567,1.0457294,0.9586114,1.97383833,0.9058196,2.58887768,0.6026122,1.75098264,0.8517487,0.452060133,0.8911922,1.645647,0.695845,1.59129059,0.8619342,0.5398553,0.6433641,0.5181794,2.20960641,0.8905838
2026-01-30 05:27:31,1195.914,1.25791907,1.01803911,0.9622722,2.0035224,0.8871112,2.52246642,0.5460972,1.7693882,0.807036,0.4571442,0.8966316,1.60599756,0.6807177,1.6471051,0.4155808,0.5387466,0.6410953,0.524147,2.17677665,0.8905718
2026-01-30 05:27:32,1196.01331,1.28656328,1.032974,0.96321106,2.08865929,0.8597398,2.66043353,0.547056258,1.76200807,0.822567046,0.445818484,0.8992673,1.68461668,0.7105609,1.66594422,0.4240117,0.544279337,0.665638149,0.517049849,2.17860341,0.8885385
2026-01-30 05:27:33,1195.914,1.26150191,1.03730726,0.9595866,2.11478662,0.9180186,2.650184,0.562392533,1.80384624,0.8239487,0.455449581,0.8959619,1.7394917,0.7080085,1.71593225,0.50123924,0.554494739,0.645880044,0.5276685,2.20901823,0.8959653
2026-01-30 05:27:34,1196.11267,1.2937001,1.01530015,0.9685261,2.13193679,0.8907374,2.63953018,0.61311394,1.7689966,0.795227945,0.4558917,0.88992,1.743763,0.69613874,1.66064227,0.3487752,0.5496518,0.612329543,0.515465438,2.21326327,0.8955655
2026-01-30 05:27:35,1196.3114,1.2695893,1.02486563,0.919891059,1.97807384,0.8770395,2.584022,0.5809906,1.73763669,0.815899134,0.4502632,0.880536258,1.7110312,0.689402938,1.62326586,0.334266841,0.5903281,0.642801642,0.5223502,2.19007516,0.882914543
2026-01-30 05:27:36,1196.212,1.32738292,1.02903926,0.943062842,1.99104607,0.869211257,2.66241574,0.6007233,1.73180592,0.799076,0.451893657,0.9009309,1.74500966,0.6815391,1.69819939,0.33017084,0.540371,0.672706962,0.525015354,2.43441486,0.8819725
2026-01-30 05:27:37,1196.41077,1.31559062,1.02400267,0.9451607,2.06895828,0.8703377,2.52466559,0.587373,1.73358643,0.8323849,0.457169,0.885405362,1.76028955,0.688957,1.60087252,0.410087228,0.556892931,0.628469,0.530989051,2.493207,0.8915596
2026-01-30 05:27:38,1196.41077,1.299533,1.02724576,0.9467661,1.967552,0.8717033,2.58304071,0.5338946,1.6961683,0.7993868,0.448961526,0.8936952,1.70042121,0.692643046,1.69070661,0.323568821,0.5401311,0.6234642,0.52217114,2.61817622,0.8810378
